19234771,64478377,01/01/2020 00:00:00,Unit Assigned
19234774,64478386,01/01/2020 00:00:00,[5] ^NO CHP SIGALERTS IN LOS ANGELES COUNTY
19234774,64478387,01/01/2020 00:00:00,[4] ^WIND ADVISORY IN PASADENA: I-210 FROM SR-134 RO SR-118  STRONG WINDS  HIGH PROFILE VEHICLES USE CAUTION- REF LOG 364
19234774,64478388,01/01/2020 00:00:00,[3] ^WIND ADVISORY IN SIMI VALLEY: SR-118 FROM ROCKY PEAK RD TO I-5  STRONG WINDS  HIGH PROFILE VEHICLES USE CAUTION- REF LOG 486
19234774,64478389,01/01/2020 00:00:00,[1] MEDIA LOG FOR JANUARY 01  2020
19234777,64478401,01/01/2020 00:00:00,[1] [Notification] [CHP]-Problem changed from INFO-Information to CLOSURE of a Road by CHP
19234777,64478402,01/01/2020 00:00:00,Unit Assigned
19234777,64478403,01/01/2020 00:00:00,Unit Enroute
19234777,64478404,01/01/2020 00:00:00,Unit At Scene
19234770,64478374,01/01/2020 00:01:00,[3] MALE POSS OO VEH THROWING UP
19234755,64478378,01/01/2020 00:01:00,[5] [CHP] has closed their incident [191231GG02762]
19234773,64478384,01/01/2020 00:01:00,[2] VISIBLE FRM THE FWY
19234773,64478385,01/01/2020 00:01:00,[1] TREE ON FIRE
19234761,64478394,01/01/2020 00:01:00,[9] C69-583C  2 VEH 20002
19234775,64478395,01/01/2020 00:01:00,Unit Assigned
19234775,64478396,01/01/2020 00:01:00,Unit Enroute
19234775,64478397,01/01/2020 00:01:00,Unit At Scene
19234773,64478434,01/01/2020 00:01:00,[5] [Appended  00:05:39] [2] VISIBLE FRM THE FWY
19234773,64478435,01/01/2020 00:01:00,[4] [Appended  00:05:39] [1] TREE ON FIRE
19234773,64478382,01/01/2020 00:02:00,[1] PALM TREE ON FIRE JUST OFF THE FWY
19234773,64478383,01/01/2020 00:02:00,[4] 1039 LAFD XFER
19234774,64478390,01/01/2020 00:02:00,Unit Assigned
19234751,64478391,01/01/2020 00:02:00,Unit Cleared
19234773,64478433,01/01/2020 00:02:00,[7] [Appended  00:05:39] [4] 1039 LAFD XFER
19234768,64478369,01/01/2020 00:03:00,[2] ROSEVILLE XFER'G TRANS
19234769,64478370,01/01/2020 00:03:00,[4] TC OCCRD LINE 1- VICT IS 97 AT ABOVE 1020 REQ 1110
19234725,64478372,01/01/2020 00:03:00,[22] 46-40 1185 TO 3409 WEMBERLEY FOR SV
19234770,64478375,01/01/2020 00:03:00,Unit Assigned
19234770,64478376,01/01/2020 00:03:00,Unit Enroute
19234761,64478393,01/01/2020 00:03:00,[10] C69-583C  1185
19234776,64478398,01/01/2020 00:03:00,[2] TRANS TO VVSO
19234776,64478399,01/01/2020 00:03:00,[1] TWO VEHS POSS WENT HEAD ON
19234758,64478400,01/01/2020 00:03:00,[11] C73-016  REQ 1185
19234722,64478405,01/01/2020 00:03:00,[9] PER 96 VIA LL COROADS WILL HAVE TO COME CHOP THE TREE / FOLIAGE ON THE FOG LINE // CAN DO IT ON REG ROUNDS
19234725,64478371,01/01/2020 00:04:00,[23] [Rotation Request Comment] 1039 WAP TOW 916-514-8935*****
19234772,64478379,01/01/2020 00:04:00,Unit Assigned
19234772,64478380,01/01/2020 00:04:00,Unit Enroute
19234772,64478381,01/01/2020 00:04:00,Unit At Scene
19234761,64478392,01/01/2020 00:04:00,[11] [Rotation Request Comment] 1039 BAKERSFIELD CITY TOW 661-215-3783
19234755,64478423,01/01/2020 00:04:00,Unit Assigned
19234773,64478432,01/01/2020 00:04:00,[11] [Appended  00:05:39] [8] PALM TREE ON FIRE
19234776,64478445,01/01/2020 00:04:00,[8] 1039 COMM CNTER
19234776,64478446,01/01/2020 00:04:00,[7] NEG BLKING
19234776,64478447,01/01/2020 00:04:00,[6] [Notification] [CHP]-Problem changed from 1183-Trfc Collision-Unkn Inj to 1179-Trfc Collision-1141 Enrt by CHP
19234768,64478406,01/01/2020 00:05:00,[4] LOST TRANS
19234768,64478407,01/01/2020 00:05:00,Unit Assigned
19234768,64478408,01/01/2020 00:05:00,Unit Enroute
19234765,64478417,01/01/2020 00:05:00,[6] 1039 JOHN BRAZIE-ENRT
19234755,64478422,01/01/2020 00:05:00,[6] 32-12 REQ UNITS TO THE BRG / VEHS STOPPED WATCHING FIREWORKS OO VEH [Shared]
19234755,64478424,01/01/2020 00:05:00,Unit Assigned
19234755,64478425,01/01/2020 00:05:00,Unit At Scene
19234737,64478438,01/01/2020 00:05:00,Unit Assigned
19234761,64478440,01/01/2020 00:05:00,[12] [Rotation Request Comment] 1039 FLET SERVICES 661-615-6130
19234759,64478411,01/01/2020 00:06:00,Unit At Scene
19234759,64478412,01/01/2020 00:06:00,Unit Assigned
19234759,64478413,01/01/2020 00:06:00,Unit Enroute
